代码,名称,price,change,volume,turnover
688411,N海博,63.8,229.21,255795.0,1590442105.0
001395,N亚联,49.5,159.43,147706.0,859765177.93
300766,每日互动,24.1,20.02,202135.0,487145398.2
300996,普联软件,27.41,20.01,540098.0,1391176736.44
301299,卓创资讯,80.08,20.01,158156.0,1250656766.08
301512,智信精密,45.0,20.0,48507.0,209416166.0
300229,拓尔思,22.11,17.79,1855583.0,4095303109.55
839493,并行科技,75.51,17.02,84184.0,657767465.27
300634,彩讯股份,29.54,15.66,1080284.0,2957463298.96
300287,飞利信,4.73,14.25,2525616.0,1183866041.9
300697,电工合金,17.42,12.46,427204.0,742026831.02
688620,安凯微,12.49,10.53,448338.0,555115421.0
300652,雷迪克,32.54,10.53,75422.0,241177768.59
301061,匠心家居,80.72,10.24,20250.0,161822013.64
600807,济高发展,2.82,10.16,630870.0,176811414.0
002047,宝鹰股份,2.61,10.13,315864.0,81598576.3
000668,荣丰控股,6.11,10.09,156260.0,89923901.12
002549,凯美特气,6.44,10.09,112212.0,70637208.41
002398,垒知集团,5.57,10.08,1474375.0,821172093.94
000802,北京文化,7.0,10.06,502120.0,347314860.32
600758,辽宁能源,3.61,10.06,208030.0,74706051.0
002667,威领股份,9.52,10.06,237369.0,223386527.14
002394,联发股份,8.1,10.05,159384.0,124342554.0
600300,维维股份,3.29,10.03,308131.0,101375099.0
000818,航锦科技,16.79,10.03,64915.0,108991546.24
000856,冀东装备,12.73,10.03,1037250.0,1254523556.64
003015,日久光电,15.48,10.02,593292.0,883793679.57
002691,冀凯股份,8.35,10.01,799102.0,593491048.94
003005,竞业达,32.42,10.01,51544.0,167105421.06
001380,华纬科技,27.59,10.01,63587.0,174038428.62
605398,新炬网络,27.92,10.01,13481.0,37639036.0
000532,华金资本,14.62,10.01,61233.0,89523186.94
002881,美格智能,40.24,10.01,34897.0,140423918.4
603068,博通集成,40.47,10.0,190221.0,757057411.0
603880,南卫股份,4.84,10.0,53359.0,25619534.0
600793,宜宾纸业,20.9,10.0,176940.0,365447216.0
002530,金财互联,12.1,10.0,2480869.0,2847066350.78
002256,兆新股份,2.42,10.0,1205477.0,284621104.0
603039,泛微网络,59.0,9.99,62175.0,359504411.0
002380,科远智慧,20.7,9.99,191159.0,393173954.0
605069,正和生态,8.48,9.99,96607.0,80150596.0
603716,塞力医疗,7.38,9.99,183902.0,130396673.0
002112,三变科技,13.99,9.98,546571.0,759671730.22
002718,友邦吊顶,16.97,9.98,118317.0,196171348.46
002760,凤形股份,16.98,9.97,32954.0,54478229.64
603636,南威软件,12.47,9.96,1056808.0,1305927979.0
000681,视觉中国,24.18,9.96,1683050.0,4024560387.7
600191,华资实业,8.29,9.95,204650.0,167222368.0
600120,浙江东方,5.09,9.94,250824.0,127669579.0
000042,中洲控股,4.87,9.93,252061.0,120474259.12
600261,阳光照明,3.55,9.91,585150.0,207370494.0
600936,广西广电,3.33,9.9,561703.0,180280301.0
003042,中农联合,16.25,9.21,200362.0,324101954.96
601869,长飞光纤,41.8,9.0,389329.0,1633913713.0
603499,翔港科技,30.48,8.86,66617.0,198772172.0
835508,殷图网联,28.85,8.83,29393.0,83352134.83
301356,天振股份,18.48,8.64,41202.0,78197706.22
300205,ST天喻,4.86,8.24,131835.0,64165540.1
000039,中集集团,8.17,8.07,800584.0,649018838.96
603699,纽威股份,27.44,7.95,95088.0,258721908.0
300125,ST聆达,5.5,7.84,157628.0,85371762.79
300654,世纪天鸿,12.99,7.71,901006.0,1144966598.41
300808,久量股份,26.23,7.68,43407.0,111213455.71
301248,杰创智能,19.96,7.66,511104.0,1107546952.08
301498,乖宝宠物,98.47,7.44,34926.0,337111034.68
600989,宝丰能源,17.53,7.41,419736.0,725212679.0
601360,三六零,11.1,7.35,3644232.0,4047661561.0
601515,东峰集团,3.29,7.17,599567.0,200017400.0
300055,万邦达,4.91,6.97,274323.0,137104136.52
301220,亚香股份,47.77,6.87,60880.0,286136447.9
603129,春风动力,206.38,6.86,26888.0,543609864.0
301019,宁波色母,16.68,6.85,45558.0,74632773.71
603236,移远通信,89.66,6.64,284280.0,2539777914.0
688426,康为世纪,24.5,6.61,34883.0,84024792.0
002973,侨银股份,12.76,6.6,146622.0,183522361.51
300161,华中数控,28.94,6.51,149401.0,425395167.72
600986,浙文互联,6.56,6.49,1360464.0,876047893.0
002529,海源复材,6.29,6.43,364501.0,228289668.51
603200,上海洗霸,26.85,6.38,128458.0,336062354.0
301004,嘉益股份,123.36,6.35,11897.0,144548396.74
837403,康农种业,23.11,6.35,42550.0,97497001.59
000893,亚钾国际,20.5,6.22,188113.0,383024578.76
002331,皖通科技,7.53,6.21,206083.0,155194992.56
603429,集友股份,6.52,6.19,130222.0,85135277.0
002896,中大力德,57.52,6.11,296741.0,1700096475.6
600539,狮头股份,7.58,6.01,392022.0,299902938.0
603809,豪能股份,14.85,6.0,605766.0,882559248.0
603800,洪田股份,26.19,5.99,78638.0,206229161.0
688701,卓锦股份,5.86,5.97,27344.0,16035694.0
301556,托普云农,95.88,5.94,27685.0,258792006.56
300876,蒙泰高新,26.59,5.94,17311.0,45372202.0
600371,万向德农,9.16,5.9,219643.0,196941020.0
002134,天津普林,20.5,5.89,128203.0,262670747.52
600629,华建集团,8.35,5.83,518959.0,435328845.0
600802,福建水泥,4.01,5.8,172177.0,68007523.0
600126,杭钢股份,5.2,5.69,1678755.0,880610973.0
688227,品高股份,29.01,5.61,26697.0,76905894.0
688608,恒玄科技,397.01,5.53,30787.0,1210262872.0
300096,ST易联众,3.26,5.5,101165.0,31837234.47
301318,维海德,32.39,5.47,80709.0,261865804.25
300605,恒锋信息,12.39,5.45,111177.0,138625215.37
002315,焦点科技,50.88,5.34,245970.0,1249844196.02
002098,浔兴股份,8.57,5.28,135066.0,117721370.28
300980,祥源新材,26.88,5.21,76198.0,201183224.76
002141,*ST贤丰,1.63,5.16,106623.0,17270113.5
300835,龙磁科技,40.39,5.15,142141.0,565451942.2
300435,中泰股份,11.87,5.14,112175.0,132596752.0
831152,昆工科技,12.3,5.13,24211.0,29117140.55
600571,信雅达,13.12,5.13,538463.0,704979957.0
300419,ST浩丰,4.77,5.07,237113.0,112110679.0
600289,*ST信通,2.91,5.05,13832.0,4025191.0
001231,农心科技,17.7,5.04,56420.0,99007563.5
688117,圣诺生物,24.6,5.04,22632.0,54963081.0
300222,科大智能,11.48,5.03,920673.0,1066886155.12
002592,ST八菱,5.02,5.02,60214.0,30156258.0
301066,万事利,14.55,4.98,185927.0,274137548.27
600282,南钢股份,4.64,4.98,468729.0,215867706.0
002353,杰瑞股份,41.65,4.96,131226.0,540064623.74
600671,ST目药,9.52,4.96,4611.0,4389672.0
300840,酷特智能,28.45,4.94,758149.0,2100365813.1
600165,*ST宁科,2.77,4.92,181584.0,49896787.0
002259,ST升达,2.56,4.92,161207.0,40806028.41
002445,中南文化,2.35,4.91,887356.0,205016442.2
601665,齐鲁银行,5.78,4.9,585887.0,336901070.0
600605,汇通能源,35.86,4.88,52145.0,186902752.0
002656,*ST摩登,1.94,4.86,109950.0,21134703.62
000932,华菱钢铁,4.53,4.86,2621469.0,1183142756.39
605018,长华集团,12.68,4.79,392112.0,494467814.0
603922,金鸿顺,23.34,4.66,42204.0,97996031.0
300729,乐歌股份,15.62,4.62,121490.0,190643632.35
603893,瑞芯微,164.5,4.6,179877.0,2893758646.0
603261,立航科技,21.84,4.6,55703.0,117550674.0
600569,安阳钢铁,1.82,4.6,657314.0,121932995.0
600228,返利科技,4.78,4.6,386785.0,184245948.0
603877,太平鸟,14.51,4.54,37041.0,52915652.0
603718,海利生物,7.19,4.51,132885.0,95456450.0
002731,萃华珠宝,9.28,4.5,83496.0,78254187.8
688286,敏芯股份,70.38,4.45,21512.0,147799162.0
002354,天娱数科,6.1,4.45,2809485.0,1693868876.43
002496,辉丰股份,1.41,4.44,1035857.0,144475728.3
600990,四创电子,20.5,4.43,97109.0,197117500.0
603992,松霖科技,19.69,4.4,31816.0,62650028.0
300967,晓鸣股份,12.0,4.35,83075.0,100988122.0
603079,圣达生物,14.25,4.32,100157.0,141851403.0
300157,新锦动力,2.92,4.29,266404.0,76824405.6
600313,农发种业,6.58,4.28,437586.0,284527608.0
600052,东望时代,4.39,4.28,113097.0,49708172.0
600722,金牛化工,5.62,4.27,444956.0,247147336.0
000830,鲁西化工,11.84,4.23,374263.0,442231442.28
603351,威尔药业,23.78,4.21,7680.0,18109716.0
603810,丰山集团,10.06,4.14,71924.0,72310197.0
002551,尚荣医疗,3.05,4.1,282683.0,87360633.8
600777,ST新潮,2.8,4.09,1358723.0,375614165.0
688166,博瑞医药,30.92,4.07,100905.0,310475362.0
600733,北汽蓝谷,7.94,4.06,2019477.0,1601683684.0
300687,赛意信息,20.24,4.06,307200.0,610842958.99
300781,因赛集团,64.6,4.06,138724.0,909838152.84
600581,八一钢铁,3.08,4.05,443709.0,135727455.0
300020,*ST银江,2.83,4.04,342493.0,97526356.8
002700,ST浩源,10.55,4.04,28709.0,30056208.0
300779,惠城环保,89.67,4.03,34525.0,311311011.2
600626,申达股份,3.62,4.02,373011.0,134769442.0
000757,浩物股份,3.9,4.0,142496.0,55354248.22
000638,万方发展,4.94,4.0,176305.0,87881229.8
603408,建霖家居,13.57,3.98,55281.0,75164968.0
000702,正虹科技,7.06,3.98,128869.0,92117066.26
301456,盘古智能,23.83,3.97,29153.0,69874713.34
600107,美尔雅,4.22,3.94,109896.0,45919316.0
688685,迈信林,38.17,3.92,69036.0,259358288.0
688244,永信至诚,27.35,3.91,38392.0,108693815.0
603615,茶花股份,22.86,3.91,62226.0,144263130.0
688103,国力股份,38.36,3.9,14013.0,53640462.0
300889,爱克股份,14.41,3.89,49649.0,71010089.96
300277,海联讯,11.53,3.87,183548.0,209850960.0
603955,大千生态,18.26,3.87,164136.0,308743638.0
603610,麒盛科技,11.14,3.82,129727.0,144164475.0
600750,江中药业,22.91,3.81,109177.0,249133565.0
001212,中旗新材,22.77,3.78,32504.0,74648069.34
603637,镇海股份,8.78,3.78,106716.0,94547370.0
605186,健麾信息,20.1,3.77,36318.0,73406046.0
603388,ST元成,2.48,3.77,60897.0,15090545.0
600176,中国巨石,11.3,3.76,368922.0,414372773.0
833171,国航远洋,6.07,3.76,151932.0,92516086.72
002212,天融信,7.18,3.76,779491.0,556145547.1
603983,丸美生物,32.99,3.74,18214.0,59332770.0
002831,裕同科技,27.76,3.74,71769.0,198325216.59
600971,恒源煤电,9.01,3.68,118679.0,105999220.0
000895,双汇发展,26.36,3.66,194882.0,509525877.25
300698,万马科技,36.6,3.65,26750.0,97093497.0
600892,大晟文化,3.13,3.64,574198.0,171080880.0
688369,致远互联,23.64,3.64,98854.0,230875073.0
000691,亚太实业,2.86,3.62,215991.0,61490902.0
300478,杭州高新,9.27,3.58,36625.0,33810467.0
600163,中闽能源,5.51,3.57,174283.0,95957537.0
003011,海象新材,15.09,3.57,44928.0,69464631.12
603729,龙韵股份,17.51,3.55,257400.0,463745356.0
600376,首开股份,2.35,3.52,347672.0,80871904.0
000680,山推股份,10.03,3.51,333079.0,332571078.26
002128,电投能源,20.2,3.48,165697.0,333128555.8
000615,ST美谷,3.58,3.47,104733.0,36916047.0
002620,瑞和股份,2.99,3.46,243597.0,74008329.0
002992,宝明科技,58.48,3.45,25727.0,149334926.0
300608,思特奇,12.3,3.45,527047.0,664514316.24
603869,ST智知,5.74,3.42,17810.0,10153833.0
002088,鲁阳节能,12.39,3.42,37036.0,45652091.8
601006,大秦铁路,6.65,3.42,1814538.0,1200721033.0
603601,再升科技,3.35,3.4,219983.0,74547828.0
002251,ST步步高,4.27,3.39,281708.0,118429879.75
000809,*ST和展,3.08,3.36,49878.0,15307319.56
000096,广聚能源,11.71,3.35,89980.0,106777520.0
603980,吉华集团,4.33,3.34,272988.0,119905687.0
300497,富祥药业,8.12,3.31,167224.0,138179874.06
603059,倍加洁,21.58,3.3,10216.0,21734782.0
002602,ST华通,5.04,3.28,876342.0,442161475.38
834014,特瑞斯,11.05,3.27,14110.0,15557041.93
603080,新疆火炬,16.11,3.27,68555.0,112840661.0
688108,赛诺医疗,9.81,3.26,64400.0,63389093.0
300211,亿通科技,7.93,3.26,203285.0,159798795.4
600070,*ST富润,1.27,3.25,200003.0,25534364.0
002808,ST恒久,2.54,3.25,125740.0,32158839.37
688162,巨一科技,23.82,3.25,24530.0,57519789.0
600375,*ST汉马,6.04,3.25,66605.0,40385442.0
603272,联翔股份,15.58,3.25,33216.0,52609122.0
000419,通程控股,5.74,3.24,371389.0,219719087.64
300021,大禹节水,4.17,3.22,305215.0,129287405.54
300266,兴源环境,2.58,3.2,411681.0,106704751.82
603656,泰禾智能,19.71,3.19,88749.0,173617453.0
002757,南兴股份,17.49,3.19,1048687.0,1876506415.49
002379,宏创控股,10.41,3.17,518229.0,539837773.39
000061,农 产 品,6.58,3.13,110432.0,72504939.36
001270,铖昌科技,27.15,3.11,98621.0,267424414.43
300689,澄天伟业,26.5,3.11,13762.0,35953550.65
603110,东方材料,14.58,3.11,81955.0,117089029.0
002321,华英农业,2.32,3.11,513181.0,120868847.83
301101,明月镜片,41.2,3.1,94216.0,385338818.24
300756,金马游乐,16.64,3.1,55505.0,92278519.04
603170,宝立食品,14.68,3.09,19572.0,28675792.0
600331,宏达股份,7.7,3.08,360543.0,273817244.0
002014,永新股份,10.39,3.08,48103.0,49809084.6
600782,新钢股份,3.69,3.07,841778.0,312211382.0
300047,天源迪科,12.45,3.06,708979.0,880938029.41
600821,金开新能,5.39,3.06,229589.0,122927663.0
603206,嘉环科技,15.85,3.06,64536.0,100893795.0
603818,曲美家居,2.7,3.05,182262.0,49271061.0
002650,ST加加,4.73,3.05,29863.0,14026433.0
300866,安克创新,108.52,3.05,40313.0,435245230.1
001266,宏英智能,23.11,3.03,46143.0,106921745.58
301110,青木科技,70.0,3.02,93849.0,667451712.58
002316,ST亚联,3.42,3.01,119368.0,41084398.46
688220,翱捷科技-U,69.52,3.01,86095.0,602458382.0
000679,大连友谊,6.17,3.01,241922.0,152585902.02
002791,坚朗五金,22.64,3.0,70531.0,161845998.06
002564,*ST天沃,4.13,2.99,89664.0,37125879.0
300056,中创环保,13.45,2.99,141197.0,187399118.18
001228,永泰运,21.46,2.98,14227.0,30067859.96
000909,ST数源,5.21,2.96,83251.0,43331131.5
601000,唐山港,4.52,2.96,478663.0,214948503.0
000598,兴蓉环境,7.31,2.96,232291.0,169151714.56
605080,浙江自然,30.69,2.95,32304.0,98480344.0
002982,湘佳股份,17.79,2.95,44865.0,80383245.8
688111,金山办公,314.0,2.94,80218.0,2539346702.0
301035,润丰股份,48.89,2.93,10545.0,51170954.0
300300,ST峡创,2.83,2.91,172577.0,48366434.31
300796,贝斯美,10.34,2.89,62944.0,64915579.64
002648,卫星化学,20.03,2.88,264265.0,527870640.03
